session ID,page_name
1,"['Trousers', 'Trousers', 'Skirts', 'Skirts', 'Skirts', 'Blouses', 'Blouses', 'Sale', 'Sale']"
2,"['Skirts', 'Skirts', 'Skirts', 'Skirts', 'Trousers', 'Trousers', 'Skirts', 'Sale', 'Sale', 'Sale']"
3,"['Skirts', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Sale']"
4,"['Trousers', 'Trousers', 'Blouses', 'Blouses']"
6,"['Blouses', 'Blouses', 'Blouses', 'Skirts', 'Skirts']"
7,"['Trousers', 'Blouses', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Skirts']"
8,"['Blouses', 'Skirts', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Skirts']"
9,"['Trousers', 'Trousers', 'Skirts']"
10,"['Trousers', 'Skirts', 'Skirts', 'Skirts', 'Skirts']"
12,"['Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Blouses', 'Sale']"
13,"['Trousers', 'Trousers', 'Trousers']"
15,"['Trousers', 'Trousers', 'Trousers', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses']"
16,"['Sale', 'Sale']"
17,"['Blouses', 'Blouses', 'Trousers', 'Blouses', 'Skirts', 'Skirts', 'Skirts']"
18,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Blouses']"
19,"['Trousers', 'Blouses', 'Blouses', 'Blouses', 'Sale']"
20,"['Trousers', 'Trousers', 'Sale']"
21,"['Sale', 'Skirts', 'Skirts', 'Skirts', 'Blouses', 'Blouses', 'Sale']"
22,"['Trousers', 'Trousers', 'Trousers', 'Trousers']"
23,"['Trousers', 'Skirts', 'Sale']"
